Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Barbell Wrist Curl (Posterior),Forearms,Beginner,"Strength, Isolation",Barbell,No Description,"('Stand with your feet shoulders width apart.  ', 'Grasp the barbell in your hands with your palms facing outwards.  ', 'Lift the barbell up and down using only your hands while keeping your arms straight.')"
Cable High Pulley Tricep Extension,Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a high cable pulley machine with a straight bar and stand with your back facing the machine, grabbing the bar with an overhand grip.', 'Bend down at the waist so that your body is almost parallel with the floor and keep a staggered position so that one leg is in front of the other.', 'Keeping your hands close together, push the bar out in front of you until your arms are fully extended, squeezing your triceps and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Spider Curl,"Biceps, Shoulders",Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by holding a dumbbell in each hand and position yourself lying face first on an inclined bench.', 'Then extend your biceps down and out in front of you so that you are able to fully contract your', 'Contract your biceps and curl the weights up towards your shoulders, squeezing your muscles in the process and isolating the biceps', 'Hold for a count when you reach the top position then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Glute Kickback,"Glutes, Lower Legs, Upper Legs",Beginner,"Strength, Compound",Body Only,No Description,"('To begin this exercise; start off with your knees on the floor in a kneeling push-up position.', 'Raise your right leg until your hamstrings are parallel with your back maintaining the 90-degree level squeezing your glutes throughout the movement.', 'Hold this position for a few seconds and return back to the starting position followed by alternating the exercises with the other leg.', 'Repeat this exercise for as many repetitions as needed.')"
Dumbbell Rear Delt Row,Back,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by lying on a flat bench with a dumbbell in each hand extended out in front of you.', 'Slowly pull the dumbbells up until your elbows are just above your shoulders.', 'Once you reach the final position hold for a count and squeeze your muscles.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Dumbbell Arnold Press,Shoulders,Intermediate,"Strength, Compound",Dumbbell,No Description,"('Begin by standing up straight with feet shoulder width apart and holding a dumbbell in each hand.', 'Slowly, while using your thighs, raise the dumbbells to shoulder height and rotate your palms so that they are facing in towards your body.', 'From there raise both dumbbells above your head, squeezing in your shoulder, and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Single-Leg Calf Raise,Lower Legs,Beginner,"Strength, Isolation",Body Only,No Description,"('Start by standing to the side of either a smith machine or a support structure and holding onto it.', 'Slowly lift one of your heels off of the floor as far as possible, keeping the other leg extended behind you, and squeeze your calf.', 'Hold for a count and return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Plie Squat,"Upper Legs, Lower Legs, Glutes",Beginner,"Strength, Compound",Dumbbell,The plie' squat is a version of the squat exercise that is performed with a dumbbell to strengthen the glutes and leg muscles,"('Start by standing with your feet 2-4 inches wider than your shoulders, with your toes pointed out at a 45 degree angles.', 'Grab onto one dumbbell with both hands. Let the arms hang straight down holding one end of the dumbbell vertically. Maintain this position in the center of your body making sure that you keep your knees slightly bent and your back straight.', 'Squat down as if you were going to sit in a chair, bringing your thighs parallel to the floor.The goal is to touch one head of the dumbbell to the floor.', 'With a controlled motion return to starting position.', 'Repeat for as many reps and sets as desired.')"
Stability Ball Crunch,"Core, Core",Beginner,"Strength, Isolation",Exercise Ball,The Stability Ball Crunch is a great exercise for targeting your abdominal muscles while also engaging your stabilizing muscles,"('Make sure you have a stability ball that is the appropriate size for your height', 'Slowly walk your feet forward and let the ball roll beneath your lower back', 'Place your hands behind your head, lightly supporting it', 'Tighten your abdominal muscles to stabilize your body on the ball', 'At the top of the movement, pause briefly and squeeze your abs for a stronger contraction', 'Slowly lower your upper body back to the starting position, maintaining tension in your abs and keeping your lower back on the ball', 'Repeat the crunching motion for the desired number of repetitions')"
EZ Bar Curl (Reverse Grip),"Forearms, Biceps",Beginner,"Strength, Isolation",EZ Curl Bar,No Description,"('Start by standing up straight with your feet shoulder width apart and holding a weighted EZ Bar in your hands at waist level in a reverse grip.', 'Slowly elevate the bar up towards your shoulders, squeezing your forearms and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Internal Rotation,Shoulders,Beginner,"Strength, Compound, Strength",Machine - Strength,"The cable internal rotation exercise is an excellent way to target the rotator cuff muscles, specifically the subscapularis","('Adjust the pulley on the cable machine to elbow height', ""Stand with your side to the cable machine, so the arm you're working is nearest to the machine"", 'Inhale and brace your core', 'Exhale and slowly rotate your arm back to the starting position with control, keeping the movement smooth and controlled')"
Jump Rope,"Cardio, Upper Legs, Lower Legs, Cardio",Intermediate,Isolation,Others,Jumping rope is a great cardio exercise that helps burn a significant amount of calories through repeated jumping motion keeping the body in motion,()
Dumbbell Incline Hammer Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,"The dumbbell incline hammer curl is an effective exercise for targeting the brachialis and brachioradialis muscles in the forearms, as well as the biceps","('Start by sitting on an incline bench with a dumbbell in each hand, arms to your side, with your feet planted firmly in front of you',)"
Barbell Push Press,"Shoulders, Triceps, Upper Legs",Intermediate,Compound,Barbell,No Description,"('To begin this exercise; start off with a power clean to get the weighted barbell from the floor to your shoulders.', 'With the barbell rested on your palms and shoulder, bend your knees slightly and explode upward using your upper legs to overhead press, from the shoulders, the barbell above your head.', 'Lower the bar slowly to your shoulders bending your knees until the barbell reaches the starting point.', 'Repeat this exercise for as many repetitions as needed.')"
Barbell Row,Back,Intermediate,"Strength, Compound",Barbell,No Description,"('Start by taking a barbell and placing it in a corner or in a place where it can be stabilized, then place a weight at the one end that you will be grabbing.', 'Slowly bend forward so that you are as close to parallel to the ground as possible, keeping your knees bent and feet planted firmly on the floor.', 'Grab the bar with one hand on top of the other, just underneath the plates then pull the bar straight up towards your chest, keeping your elbows in, until the weight touches your lower chest and squeeze your back.', 'Hold for a count then return back to the starting position making sure that the weights do not touch the floor.', 'Repeat for as many reps and sets as desired.')"
Prisoner Squat,Upper Legs,Beginner,"Strength, Isolation",Body Only,No Description,"('Start by standing up straight with wide feet and your hands behind your head.', 'Slowly lower your body in a controlled squat, extending your hips and knees feeling a stretch in your thighs and glutes.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Machine Reverse T Bar Row,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a T-Bar Row machine with the amount of weight that you want to use to perform this exercise.', 'Lay down with your chest flat on the pad in front of you, legs behind on the foot rests and grabbing onto the handles with an underhand reverse grip.', 'Slowly pull the bar up towards your chest, bringing the handles to your sides, squeezing with your back and lat muscles.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm Reverse Fly,Shoulders,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a low cable pulley machine with a cable attachment and standing to the side of the machine with feet shoulder width apart.', 'Bend down at your knees, keeping your back parallel with the floor, bringing your opposite arm holding the cable in front of your body and this will be your starting position.', 'Slowly elevate your arm up and out, squeezing your shoulders until the handle reaches head level and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Front Raise,Shoulders,Beginner,"Strength, Compound",Barbell,A barbell front raise is an effective exercise for targeting the anterior deltoid muscles in your shoulders,"('Stand with your feet shoulder-width apart', 'Stand straight with your arms extended downward, holding the barbell in front of your thighs', 'Engage your core muscles to stabilize your body', 'Slowly lower the barbell back to the starting position in a controlled manner')"
Seated Leg Tuck,Core,Intermediate,"Strength, Isolation",Bench,No Description,"('Start off with your body sitting in the middle of a flat bench with your legs stretch out in front of you. ', 'Keep the upper half of your body leaning back.', 'Take your knees and curl them up towards you as you bring your chest close to your knees. ', 'Exhale as you perform this motion.', 'Tighten your abs and squeeze for a few seconds, then return back to the starting position as you inhale.', 'Repeat this exercise for as many repetitions as needed.')"
Dumbbell Seated Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,The seated dumbbell curl is a seated biceps curl exercise using the dumbbells,"('Start by sitting on a bench with your feet planted on the floor in front of you and keeping your back straight.', 'Grab onto a dumbbell in each hand with your palms facing inward, then lower the dumbbells down to your sides and slowly curl them up, isolating the biceps.', 'Once you reach the top position, squeeze your biceps, hold for a count then return back to the starting position.')"
Barbell Sumo Deadlift,"Back, Glutes, Upper Legs",Intermediate,Compound,Barbell,No Description,"('To begin this exercise; start off with a weighted barbell on the ground and spread your feet very wide apart. ', 'Bend your knees and body and grip the barbell with one underhand grip and one overhand grip.', 'Extend through with your hips and knees to drive the barbell up off the floor driving your hips into the bar.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed')"
Machine Single-Leg Press,Upper Legs,Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"(""Start by sitting down on a leg press machine, placing one of your feet on the platform in front of you with shoulder width spacing, the other extended to the side so that it doesn't get in the way and selecting the weight you would like to perform."", 'Slowly, using your hamstrings and quads, push against the platform so that you move backwards, feeling a stretch in your legs and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Hip Abduction,"Glutes, Upper Legs",Beginner,"Compound, Strength",Machine - Strength,The hip adduction exercise helps strengthen the hip flexor and thigh muscles,"('Start by standing alongside a cable pulley stack and attach a cuff to the pulley near your ankle.', 'Step away from the stack holding onto the stack for support.', 'While standing firm on the foot not attached to the cable, slowly abduct (pull away) your cuffed ankle in front of your stabilizing leg and back.', 'Repeat and switch ankles.')"
Barbell Bicep Curl (Wide Grip),"Biceps, Forearms",Beginner,"Strength, Isolation",Barbell,The barbell wide grip standing biceps curl exercise is a wide grip version of the bicep curl that targets the lateral (outer) portion of the bicep muscle,"('Start by standing with your feet shoulder width apart, your knees slightly bent and your abs drawn in.', 'Grab a barbell with an underhand (palms up) grip as wide as you comfortably can and extend your arms fully against your thighs.', 'Keeping your elbows straight, raise the bar towards your chest till your forearms touch your chest, squeezing your bicep muscle.', 'Pause for moment and then return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Single-Leg Curl,Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a single leg curl machine with the amount of weight that you would like to perform for this exercise. ', 'Lay with your face down on the machine and the padding just above your ankles.', 'Squeeze your hamstring and curl the weight up with one of your legs, until you feel a stretch then hold for a count.', 'Return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Upper Chest Crossover,"Chest, Chest, Shoulders",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up handles on a high cable pulley machine, standing in the middle of the machines, grabbing the handles with both of your hands and keeping them extended above your head.', 'Slowly move your arms in a circular motion and bring them out in front of your body at head level.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Iso Lateral High Row,"Back, Biceps",Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up weight on a high iso lateral machine, then sit down with your feet in front of you and thighs rested underneath the padding for stability.', 'Reach up with one hand and grab one of the handles with an overhand grip as this will be your starting position.', 'Slowly lower the handle down towards your side at chest level, squeezing your back and lat muscles on the way down, and hold for a count.', 'Return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Bird Dog,"Core, Back, Upper Legs",Intermediate,"Strength, Compound",Body Only,No Description,"('Start by kneeling on all fours with your knees underneath your hips and your wrists under your shoulders.', 'When in position, extend your right arm away from your body keeping in line with your shoulder and head while you extend your left leg away from your body at the same time.', 'Hold onto this position for a few seconds then return back to the starting position and repeat but with your left arm and right leg.', 'Repeat for as many reps and sets as desired.')"
Push-Up (Close Hand),"Chest, Shoulders, Triceps",Intermediate,"Strength, Compound",Body Only,No Description,"('Start laying on the floor in a push-up position with your feet extended out behind you and your hands shoulder width apart.', 'Slowly walk your hands inward so that your fingertips and your thumbs are touching and creating almost a diamond shape or as close together as possible.', 'Lower yourself towards the ground until your chest almost touches the floor and hold.', 'Return back to the starting position squeezing your chest on the way back up.', 'Repeat for as many reps and sets as desired.')"
Pull-Up (Hammer Grip),"Back, Shoulders",Intermediate,"Strength, Isolation",Pullup Bar,No Description,"('Stand in front of a assisted pull-up machine and grab the hammer grip section of the bar.', 'Lift your feet up off of the floor and pull up slowly, squeezing your lats until your shoulders are level with your head.', 'Hold this position for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Seated Hammer Curl,"Biceps, Forearms",Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by setting up a flat bench and then sit down on the bench, with a dumbbell in each hand and feet flat on the floor.', 'Hold the dumbbells in a neutral grip with your palms facing inward. ', 'Slowly lift the dumbbells up towards your shoulder, isolating the bicep and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Jump Squat,"Upper Legs, Lower Legs, Glutes",Intermediate,"Strength, Compound",Body Only,No Description,"('To begin this exercise; start off by crossing your arms over your chest and keeping your body standing straight up.', 'Then squat down as in a normal full squat bending at your knees until your thighs are parallel with the floor.', 'When you reach the full squat position, use the force from your heels to push up and jump straight into the air as high as possible.', 'As soon as you touch the floor, immediately repeat the exercise once again.', 'Repeat this exercise for as many repetitions as needed')"
Dumbbell Deep Push-Up,"Chest, Shoulders",Intermediate,"Strength, Compound",Dumbbell,No Description,"('Start by getting yourself into a pushup position with your hands holding onto dumbbells on the floor in front of you.', 'Keep your arms at shoulder width distance and legs extended behind you with toes on the floor.', 'Slowly lower your body down towards the floor as far as possible, so that you feel a deep stretch in your chest, then hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Smith Machine Bent-Over Row,"Back, Biceps",Beginner,"Strength, Compound, Strength",Machine - Strength,The smith machine bent over row exercise works on improve your posture and strengthening your upper back,"('Start by standing up straight with your feet shoulder-width apart, keeping your knees slightly bent and good posture and then lean forward with your upper body until your chest is parallel to the floor.', 'Grab onto the bar with a wide overhand grip, making sure that you keep your chest still and pull the bar up until it is almost touching your chest.', 'Hold this position for a count, squeezing your back muscles, then return back to the starting position in a controlled manner.', ""You don't have to use a lot of weight for this exercise to be challenging."", ""Maintain good form for this exercise so that you don't sustain an injury."")"
Bench Hip Thrust,Core,Beginner,"Strength, Isolation",Bench,No Description,"('Begin by laying with your back on a flat bench with your feet hanging off one end and grabbing the bench above your head.', 'Keep your feet and knees together and then slowly bring them up towards the ceiling keeping them pointed straight up.', 'While your legs are pointed straight up, thrusts your hips up off of the bench then slowly low back down to the bench.', 'Repeat for as many reps and sets as desired.')"
Machine Lateral Shoulder Raise,Shoulders,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting down at the shoulder raise machine, placing your arms underneath each pad and then slowly raising your arms out to your sides.', 'As soon as your arms reach about shoulder level, hold onto this pose for a count then return back to the starting position slowly while maintaining tension on your muscles.', 'Repeat for as many reps and sets as desired.')"
Cable Elevated Row,"Back, Shoulders",Intermediate,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by taking an elevated platform and placing it on top of the bench for a cable row machine.', 'Sit down on the bench placing your feet on the foot rests in front of you, keeping your knees slightly bent and then lean slightly to grab the handle to perform the exercise.', 'Slowly extend your arms and elbows back pulling the handle towards your lower chest, feeling a stretch within your lats and lower back.', 'Hold this position for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Bench Press (Palms in),"Chest, Shoulders, Triceps",Beginner,"Strength, Compound",Dumbbell,No Description,"('Start by laying with your back flat on a bench with your feet rested on the floor and holding a dumbbell in each hand.', 'Keep the dumbbells rested at your chest as you get yourself into position, holding onto them with a neutral grip.', 'Extend your hands above your chest and squeeze so that you feel a stretch in your pecs, then hold for a count.', 'Then slowly return the dumbbells at the sides of your chest.', 'Repeat for as many reps and sets as desired.')"
V-Up,Core,Intermediate,"Strength, Isolation",Body Only,No Description,"('Start by laying on a mat with your legs extended out towards the ceiling and slightly apart.', 'Extend your hands above your head and in front of your chest.', 'Squeeze with your abs and reach up with your arms in between your legs and hold this position for a few seconds.', 'Return back to the starting position and then repeat for the desired number of reps and sets.')"
Leg Pull-In,Core,Beginner,"Strength, Compound",Body Only,No Description,"('To begin the exercise, have your back flat on the floor and legs extended with palms down by your side.', 'Take your knees and curl up, pulling your thighs toward your chest as you exhale. ', 'Once your knees have hit the chest level, squeeze your abs and hold for a few seconds.', 'Release your contraction and return back to the starting position inhaling down.', 'Repeat this exercise for as many repetitions as needed.')"
Scissor Kick,Core,Beginner,"Strength, Isolation",Body Only,No Description,"('Start off with your back flat on the floor and hands extended to your side.', 'Bend your knees slightly and lift your legs up off of the ground. ', 'Then lift your left leg above your right leg as your right leg moves down close towards the floor.', 'Alternate this motion by lifting your right leg higher above your left leg while your left leg moves closer towards the ground keeping your back still on the floor the entire exercise.', 'Repeat this exercise for as many repetitions as needed.')"
Machine Leg Press (Narrow Stance),"Upper Legs, Lower Legs, Glutes",Intermediate,"Strength, Compound, Strength",Machine - Strength,No Description,"('To begin this exercise; start off sitting down on a leg press machine and place your legs on the platform in front of you in less than a shoulder with apart narrow stance and toes pointed out.', 'Then lower the safety bars to release the platform and push the platform up until your legs are fully extended forward.', 'Lower the platform back down towards your chest and stop when your upper legs and knees make a 90-degree angle.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed')"
Kettlebell One-Arm Swing,"Upper Legs, Shoulders, Glutes",Intermediate,"Strength, Compound",Kettlebell,No Description,"('To begin this exercise; start off by placing one kettlebell between your feet and bend down at your knees pushing your glutes out.', 'Take the kettlebell and swing it between your legs and then use the force to drive the kettlebell out and in front of your chest.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed')"
Dumbbell Reverse Bicep Curl,"Biceps, Forearms",Beginner,"Strength, Isolation",Dumbbell,This is a reverse curl exercise that works all of the muscles of the arms,"('Stand with your feet shoulder width apart, your knees slightly bent and a your abs drawn in.', 'Grasp a dumbbell in each hand with an overhand (palms facing down) grip.', 'Keeping your arms at your side and your elbows steady. Lift the dumbbells up towards your shoulders.', 'Pause for a moment and then return to the starting position.')"
Machine Leg Press (Narrow Stance),Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting down on a leg press machine, placing your feet on the platform in front of you with a narrow width spacing and selecting the weight you would like to perform.', 'Slowly, using your hamstrings and quads, push against the platform so that you move backwards, feeling a stretch in your legs and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Press (Close Grip),"Triceps, Chest, Shoulders",Intermediate,"Strength, Compound",Dumbbell,No Description,"('Start by laying with back on a flat bench, feet in front of you and holding a dumbbell in each hand elevated above your chest.', 'Slowly lower the dumbbells to your chest, keeping them close together, without touching and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Vertical Row (Close Grip),Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a vertical row machine grabbing the handles with a hammer, neutral, grip and keep your feet flat on the floor in front of you.', 'Once in position, slowly pull the handles in towards your sides, squeezing your back and lat muscles, and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Rope Lat Pulldown,"Back, Biceps, Shoulders",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by setting up a rope extension on a lat pulldown machine, grabbing it with a neutral grip and sitting down on the machine with your knees rested underneath the pads.', 'Slowly, while keeping your body straight and upright, pull the rope down using and squeezing your lats as far as possible.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Weighted Side Bend,Core,Beginner,"Strength, Isolation",Weight Plate,No Description,"('Begin by standing up straight with your one arm to your side holding a weight plate and the other rested behind you with palm placed on your head.', 'Then slowly bend to one side of your body, grasping onto the weight, until you feel a tension on your obliques and hold for a few seconds.', 'Return back to the starting position and complete the number of reps desired and then switch to the opposite side.')"
Tricep Push-Up,"Triceps, Chest",Intermediate,"Strength, Isolation",Body Only,The close triceps pushup exercise is a version of the push up that isolates the tricep muscles,"('Start by kneeling down on the floor or a mat, placing your hands with thumbs together and raise your body up on your toes.', 'Draw your abs in and keep your back and neck in a straight line.', 'Slowly lower your body towards the floor until you are nearly touching the ground.', 'In a controlled manner raise your body back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Pulldown (Underhand),"Back, Biceps",Beginner,"Strength, Compound, Strength",Machine - Strength,"The underhand pull down exercise exercise works the muscles of both the lats, lower back and triceps","('Sitting upright with your abs drawn in grasp a pull down bar with and underhand grip shoulder width apart.', 'Pull the bar down till the bar reaches your upper chest, keeping your elbows close to your body.', 'Slowly return the bar to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Shrug,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,"The cable shrug is an effective exercise for targeting the trapezius muscles, particularly the upper traps","('Attach the desired handle to the cable row machine', 'Sit down on the machine with your feet securely placed on the footrests', 'Pull the handle towards your torso, leading with your elbows', 'Pull the handle until it reaches your torso, typically around the lower chest or upper abdomen', 'Slowly extend your arms and return the handle to the starting position, maintaining control of the weight throughout the movement')"
Leverage Machine Shrug,"Back, Shoulders",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by loading the leverage machine with the amount of weight you would like to use for this exercise and then place yourself in between the handles.', 'Grab the handles with a firm grip, then lower your body through your hips, lean forward and keep your chest up.', 'Extend your body through the floor, pushing with your hips and knees as you rise to a standing position, making sure to keep your arms straight through the motion and your shoulders back.', 'Slowly raise the weight by performing shoulder shrugs and bringing them up to your ears.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Incline Tricep Extension,"Triceps, Shoulders",Intermediate,"Strength, Isolation",Dumbbell,The dumbbell incline triceps extension exercise uses an incline bench to target the tricep muscles,"('Start off grabbing a dumbbell in each hand and lie against an incline bench, face up with your feet firmly planted on the floor in front of you.', 'Extend your arms over your shoulders with your palms facing each other and then slowly lower the dumbbells behind your head by bending your elbows.', 'Hold this position for a count.', 'Then with a controlled motion raise your arms back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Wrist Curl (Palms Up),Forearms,Beginner,"Strength, Isolation",Barbell,No Description,"('Start out by placing the barbell on the floor in front of a flat bench.', 'Sit down on the bench with your legs shoulder width apart.', 'Use your hands to grab the barbell and bring it up so that your forearms are resting against your thighs with palms upward. ', 'Start out by curling your wrist upwards and exhaling.', 'Slowly lower your wrist back down to the starting position while inhaling.', 'Repeat for the desired amount of repetitions and sets.', 'Refrain from moving your forearms during this exercise.')"
Recumbent Bike,"Cardio, Upper Legs, Lower Legs, Cardio, Cardio, Cardio",Beginner,,Machine - Cardio,The recumbent bike is a great cardio exercise,()
Dumbbell Hamstring Curl,Upper Legs,Intermediate,"Strength, Isolation",Dumbbell,No Description,"('Start by setting up an elevated flat bench on either a block or step and making sure that your resting point is secure.', 'Lie face down on the bench, placing a dumbbell at the lower end of the bench so that you will be able to grab it in between your feet, and that your knees are at the edge of the bench.', 'Pick the dumbbell up off of the floor with your feet, keeping your legs fully extended, and slowly curl the dumbbell up towards your buttocks by bending your knees.', 'Hold for a count when you feel a stretch in your hamstrings then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Bicep Curl (Reverse Grip),Biceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a bicep curl machine that has rotating handles. ', 'Rest your arms over the padding keeping them straight and grab onto the handles with a overhand (reverse) grip.', 'Slowly raise the handles up towards your shoulders, squeezing and isolating your biceps, and hold for a count.', 'Return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Straight Arm Crossover,"Chest, Shoulders",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up two handles on a two high cable pulley machine and stand in between the machines with your hands extended out gripping the handles above your body.', 'Slowly bring the handles down and together in front of your body, squeezing your chest and hold for a count.', 'Return the handles back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Weight Plate Rotation,Core,Intermediate,"Strength, Compound",Weight Plate,No Description,"('Lie on a mat or on the floor.', 'While sitting up extend your knees out with a slight bend.', 'Your feet should be a few inches off the ground.', 'Grab a plate and rotate from one side of your chest to the other side while maintaining your body position.  ', 'Repeat for the desired amount of reps.')"
Cable Rope Seated Row,"Back, Biceps, Shoulders",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by attaching a rope extension to a low pulley cable machine and sitting down in front of it, with your feet firmly on the rests and grabbing the rope with a neutral grip.', 'Slowly pull the weight towards you to your sides, squeezing your back, and hold for a count.', 'Return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Bench Push-Up,"Chest, Shoulders, Triceps",Intermediate,"Strength, Compound",Bench,No Description,"('Start by setting up a bench horizontally getting yourself in a push-up position so that your arms are extended, in a shoulder-width position on the floor with your feet extended behind you with toes on the bench.', 'Slowly lower your body down towards the bench so that your chest is almost touching then hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Alternating Preacher Curl,Biceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a preacher curl bench with a dumbbell in each hand, resting your forearms upon the bench and feet flat on the floor.', 'Hold the dumbbells with your palms facing towards you and let the weights fully extend out in front of you.', 'Slowly elevate one of the dumbbells up towards your chest, squeezing and isolating your bicep, then hold for a count.', 'Return back to the starting position and repeat with the opposite arm.', 'Repeat for as many reps and sets as desired.')"
Machine Leg Press (Wide Stance),Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting down on a leg press machine, placing your feet on the platform in front of you with a wide width spacing and selecting the weight you would like to perform.', 'Slowly, using your hamstrings and quads, push against the platform so that you move backwards, feeling a stretch in your legs and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm Tricep Extension,Triceps,Intermediate,"Strength, Isolation, Strength",Machine - Strength,The standing one arm low-pulley triceps extension exercise uses a cable machine to target and isolate the tricep muscles,"('Start by attaching a handle to a low cable pulley machine and standing with your back to the weight stack, and your feet shoulder width apart.', 'With your left hand, reach behind you and grasp the handle.', 'Place your right hand on your left elbow for support.', 'Extend your left arm straight up towards the ceiling and then lower it to the starting position.', 'Repeat and switch arms.')"
Hack Calf Raise,Lower Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a hack squat machine with the amount of weight that you would like to perform for this exercise, laying with your chest flat on the pad and shoulders rested underneath the shoulder pads.', 'Stand on the platform and push the weight up off of the rack and hold onto the hand rests as this will be your starting position.', 'While keeping your legs straight, slowly raise your heels up off of the floor as far as possible, squeezing your calves and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm Row,"Back, Biceps, Shoulders",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by setting up a handle on a low pulley cable machine and grab the handle with one hand in an overhand grip.', 'Keep your knees slightly bent and back straight, then pull the handle in towards your side, squeezing with your back and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Incline Bench Press (Hammer Grip),Chest,Beginner,"Strength, Compound",Dumbbell,"The Dumbbell Incline Bench Press with a hammer grip is a variation of the traditional incline bench press that targets the upper chest, shoulders, and triceps","('Adjust the incline bench to an angle of around 30 to 45 degrees', 'Hold a dumbbell in each hand with a neutral grip, also known as a hammer grip', 'Lie back on the bench, bringing the dumbbells up to shoulder level with your arms extended', 'Press the dumbbells upward in a controlled manner, extending your arms fully', 'At the top of the movement, the dumbbells should be directly above your shoulders, and your arms should be fully extended but not locked out', 'Lower the dumbbells back down in a controlled manner until they are at shoulder level again')"
